Gene name,ensembl_gene_id,target_id,pval,qval,b,Log2
Agtpbp1,ENSMUSG00000021557,ENSMUST00000169745.7,0.0004213766,0.0128137672,-0.5964979921,-0.8605646951
Ndufab1,ENSMUSG00000030869,ENSMUST00000130857.1,0.0009195259,0.0237262752,-0.596595317,-0.8607051052
Mrpl18,ENSMUSG00000057388,ENSMUST00000079121.3,4.47139341655818E-06,0.0003044513,-0.5974408674,-0.8619249766
Cdh5,ENSMUSG00000031871,ENSMUST00000034339.9,0.0001506321,0.0057654858,-0.5977397064,-0.8623561102
Cyc1,ENSMUSG00000022551,ENSMUST00000229710.1,0.0002163477,0.007635302,-0.5982950642,-0.8631573221
Kif26a,ENSMUSG00000021294,ENSMUST00000128402.2,0.0006124553,0.017217068,-0.5983530526,-0.8632409817
Pde4dip,ENSMUSG00000038170,ENSMUST00000090750.11,5.98834376143194E-06,0.0003897058,-0.5999410536,-0.8655319829
Obscn,ENSMUSG00000061462,ENSMUST00000133040.2,0.000007324,0.0004646404,-0.6006833747,-0.8666029258
Dcaf11,ENSMUSG00000022214,ENSMUST00000150019.7,0.0021773501,0.0461233139,-0.6007342638,-0.8666763433
Cox6b1,ENSMUSG00000036751,ENSMUST00000207851.1,0.0021122055,0.0452812064,-0.6008101358,-0.8667858035
Rfng,ENSMUSG00000025158,ENSMUST00000026156.7,0.0023991489,0.0496794198,-0.6015650798,-0.8678749574
Zfp651,ENSMUSG00000013419,ENSMUST00000214732.1,1.89787014052104E-05,0.0010538352,-0.6022594608,-0.8688767374
Mavs,ENSMUSG00000037523,ENSMUST00000041362.11,0.0006158062,0.0172964481,-0.6022709608,-0.8688933284
Trib2,ENSMUSG00000020601,ENSMUST00000020922.7,0.0001194677,0.0047726701,-0.6025864369,-0.8693484642
Homer1,ENSMUSG00000007617,ENSMUST00000079086.7,6.19874947745946E-05,0.0028041533,-0.6039039794,-0.8712492763
Zfp827,ENSMUSG00000071064,ENSMUST00000098614.8,0.0007271712,0.0198661364,-0.6047731761,-0.872503262
Pkia,ENSMUSG00000027499,ENSMUST00000028999.11,1.88760077300733E-07,2.04482363493901E-05,-0.6047917703,-0.8725300878
Myoz2,ENSMUSG00000028116,ENSMUST00000029761.13,1.10051140586453E-05,0.0006594727,-0.605190999,-0.8731060531
Fkbp3,ENSMUSG00000020949,ENSMUST00000021332.9,4.58930718984923E-06,0.0003112796,-0.6065250682,-0.8750307081
Cs,ENSMUSG00000005683,ENSMUST00000005826.8,2.32514421188479E-07,2.47329044851753E-05,-0.6069017974,-0.8755742134
Taco1,ENSMUSG00000001983,ENSMUST00000002048.7,5.69368482094455E-06,0.0003754879,-0.6074235689,-0.8763269706
Clic5,ENSMUSG00000023959,ENSMUST00000024755.5,1.52900864768446E-07,1.69803302083415E-05,-0.6083533534,-0.877668366
Pim3,ENSMUSG00000035828,ENSMUST00000042818.10,0.002162668,0.0459538766,-0.6097116423,-0.8796279627
Cnn2,ENSMUSG00000004665,ENSMUST00000004784.10,0.0002012999,0.007244198,-0.6111692362,-0.8817308262
Hnrnph3,ENSMUSG00000020069,ENSMUST00000140743.7,0.0015506326,0.0357915732,-0.6121677648,-0.8831713984
Mb,ENSMUSG00000018893,ENSMUST00000019037.9,8.30269673368065E-07,7.19834294718929E-05,-0.6128279617,-0.8841238612
Npr2,ENSMUSG00000028469,ENSMUST00000030191.14,2.00650715521785E-05,0.0011037456,-0.6133753225,-0.8849135359
Nrp1,ENSMUSG00000025810,ENSMUST00000026917.9,0.000001067,9.02913921978498E-05,-0.6134367192,-0.8850021127
Klf9,ENSMUSG00000033863,ENSMUST00000036884.1,2.04641610004431E-07,2.20334959487088E-05,-0.6135866981,-0.8852184865
Igfbp6,ENSMUSG00000023046,ENSMUST00000023807.6,4.92839315887837E-06,0.0003313094,-0.6139410978,-0.8857297772
Ddah2,ENSMUSG00000007039,ENSMUST00000007255.12,0.0014547591,0.0341137466,-0.6148360992,-0.8870209913
Ets1,ENSMUSG00000032035,ENSMUST00000034534.12,2.65566421414596E-05,0.0013863481,-0.6148414541,-0.8870287167
Ndufb3,ENSMUSG00000026032,ENSMUST00000027193.8,1.26431025343342E-06,0.0001044841,-0.615515201,-0.888000728
Dnajc27,ENSMUSG00000020657,ENSMUST00000020986.14,3.10615080931364E-07,3.14231549517433E-05,-0.6158307069,-0.8884559069
1600002K03Rik,ENSMUSG00000035595,ENSMUST00000041882.6,0.0022289459,0.0469665673,-0.6181536949,-0.8918072701
Mccc1,ENSMUSG00000027709,ENSMUST00000029259.9,0.00000677,0.0004357534,-0.6195612507,-0.8938379439
Ldha,ENSMUSG00000063229,ENSMUST00000048209.15,1.18426720683589E-07,1.36974206872746E-05,-0.6206470276,-0.8954043888
Myh1,ENSMUSG00000056328,ENSMUST00000075734.5,0.0005277251,0.0153515548,-0.620661577,-0.8954253791
Mrpl14,ENSMUSG00000023939,ENSMUST00000148537.1,0.0002111701,0.0075176829,-0.6208253229,-0.8956616146
Tnnt3,ENSMUSG00000061723,ENSMUST00000105955.7,3.81395842457387E-07,3.76934364971925E-05,-0.6213407565,-0.8964052281
Fam210a,ENSMUSG00000038121,ENSMUST00000042852.6,0.00000008,9.73653999686654E-06,-0.621440788,-0.8965495431
Actn2,ENSMUSG00000052374,ENSMUST00000064204.13,0.0002705395,0.0090704362,-0.622034159,-0.8974055964
Acad12,ENSMUSG00000042647,ENSMUST00000041252.12,2.44091496592091E-05,0.001290445,-0.6224893723,-0.8980623305
Filip1l,ENSMUSG00000043336,ENSMUST00000159816.7,6.26130784722366E-05,0.0028252152,-0.6229483818,-0.8987245411
Tspan2,ENSMUSG00000027858,ENSMUST00000029451.11,0.0002793249,0.0092885616,-0.6239183664,-0.9001239332
Slfn5,ENSMUSG00000054404,ENSMUST00000067443.9,5.32715847861897E-05,0.002477573,-0.6262700969,-0.9035167631
Myom1,ENSMUSG00000024049,ENSMUST00000024847.13,0.0003197775,0.0102788682,-0.6262931866,-0.9035500744
